model_name,model_version,run_point,yoda_files,map_name,stat_type,combined_exclusion
,,0011,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0011/runpoint_0011.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0011/runpoint_0011.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0011/runpoint_0011.yoda.gz']",my_run,SMBG,0.99999451379918891
,,0012,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0012/runpoint_0012.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0012/runpoint_0012.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0012/runpoint_0012.yoda.gz']",my_run,EXP,0.99999994262685321
,,0012,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0012/runpoint_0012.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0012/runpoint_0012.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0012/runpoint_0012.yoda.gz']",my_run,HLEXP,1
,,0012,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0012/runpoint_0012.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0012/runpoint_0012.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0012/runpoint_0012.yoda.gz']",my_run,SMBG,0.99986013712458521
,,0013,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0013/runpoint_0013.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0013/runpoint_0013.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0013/runpoint_0013.yoda.gz']",my_run,EXP,0.99999748665881949
,,0013,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0013/runpoint_0013.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0013/runpoint_0013.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0013/runpoint_0013.yoda.gz']",my_run,HLEXP,1
,,0013,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0013/runpoint_0013.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0013/runpoint_0013.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0013/runpoint_0013.yoda.gz']",my_run,SMBG,0.99951044827090085
,,0014,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0014/runpoint_0014.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0014/runpoint_0014.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0014/runpoint_0014.yoda.gz']",my_run,EXP,0.99999826229590005
,,0014,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0014/runpoint_0014.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0014/runpoint_0014.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0014/runpoint_0014.yoda.gz']",my_run,HLEXP,1
,,0014,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0014/runpoint_0014.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0014/runpoint_0014.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0014/runpoint_0014.yoda.gz']",my_run,SMBG,0.99874485214409647
,,0015,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0015/runpoint_0015.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0015/runpoint_0015.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0015/runpoint_0015.yoda.gz']",my_run,EXP,0.99999999992990329
,,0015,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0015/runpoint_0015.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0015/runpoint_0015.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0015/runpoint_0015.yoda.gz']",my_run,HLEXP,1
,,0015,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0015/runpoint_0015.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0015/runpoint_0015.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0015/runpoint_0015.yoda.gz']",my_run,SMBG,0.99997323619523282
,,0016,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0016/runpoint_0016.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0016/runpoint_0016.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0016/runpoint_0016.yoda.gz']",my_run,EXP,0.99999999978477638
,,0016,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0016/runpoint_0016.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0016/runpoint_0016.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0016/runpoint_0016.yoda.gz']",my_run,HLEXP,1
,,0016,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0016/runpoint_0016.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0016/runpoint_0016.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0016/runpoint_0016.yoda.gz']",my_run,SMBG,0.99991796123876775
,,0017,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0017/runpoint_0017.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0017/runpoint_0017.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0017/runpoint_0017.yoda.gz']",my_run,EXP,0.99999997293350018
,,0017,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0017/runpoint_0017.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0017/runpoint_0017.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0017/runpoint_0017.yoda.gz']",my_run,HLEXP,1
,,0017,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0017/runpoint_0017.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0017/runpoint_0017.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0017/runpoint_0017.yoda.gz']",my_run,SMBG,0.99975152657982425
,,0018,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0018/runpoint_0018.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0018/runpoint_0018.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0018/runpoint_0018.yoda.gz']",my_run,EXP,0.99999999997316147
,,0018,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0018/runpoint_0018.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0018/runpoint_0018.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0018/runpoint_0018.yoda.gz']",my_run,HLEXP,1
,,0018,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0018/runpoint_0018.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0018/runpoint_0018.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0018/runpoint_0018.yoda.gz']",my_run,SMBG,0.99997372626217707
,,0019,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0019/runpoint_0019.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0019/runpoint_0019.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0019/runpoint_0019.yoda.gz']",my_run,EXP,0.99999979270999506
,,0019,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0019/runpoint_0019.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0019/runpoint_0019.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0019/runpoint_0019.yoda.gz']",my_run,HLEXP,1
,,0019,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0019/runpoint_0019.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0019/runpoint_0019.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0019/runpoint_0019.yoda.gz']",my_run,SMBG,0.99914863898528095
,,0020,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0020/runpoint_0020.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0020/runpoint_0020.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0020/runpoint_0020.yoda.gz']",my_run,EXP,0.99999999995932287
,,0020,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0020/runpoint_0020.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0020/runpoint_0020.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0020/runpoint_0020.yoda.gz']",my_run,HLEXP,1
,,0020,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0020/runpoint_0020.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0020/runpoint_0020.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0020/runpoint_0020.yoda.gz']",my_run,SMBG,0.99999885022053792
,,0021,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0021/runpoint_0021.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0021/runpoint_0021.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0021/runpoint_0021.yoda.gz']",my_run,EXP,0.99999999999216405
,,0021,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0021/runpoint_0021.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0021/runpoint_0021.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0021/runpoint_0021.yoda.gz']",my_run,HLEXP,1
,,0021,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0021/runpoint_0021.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0021/runpoint_0021.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0021/runpoint_0021.yoda.gz']",my_run,SMBG,0.99999982131273779
